epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,332.555,0.91317,1.2124,1.17829,1.15251,0.69135,0.67083,0.65232,0.51072,0.69135,0.67083,0.65584,0.49334,1.07702,1.13649,1.36975,1.35253,0.00147721,0.00147721,0.00147721
48,338.653,0.90009,1.04541,1.07106,1.15811,0.64511,0.64546,0.72089,0.54568,0.64511,0.64546,0.71239,0.56648,1.00703,1.03118,1.32169,1.28962,0.00147309,0.00147309,0.00147309
49,344.951,0.90722,1.04777,1.05107,1.14556,0.8955,0.70338,0.83245,0.63453,0.8955,0.70338,0.83302,0.65094,0.98114,0.92378,1.13091,1.25614,0.00146896,0.00146896,0.00146896
50,352.628,0.93907,1.02221,1.16593,1.14695,0.86735,0.787,0.84449,0.63325,0.86735,0.787,0.84475,0.64281,0.92545,0.98234,0.9772,1.20561,0.00146483,0.00146483,0.00146483
51,358.725,0.93224,1.03234,1.09229,1.16112,0.88344,0.7125,0.81947,0.61682,0.89232,0.68149,0.83042,0.62279,0.9294,0.99457,1.20022,1.21693,0.00146071,0.00146071,0.00146071
52,364.825,0.85034,0.99778,0.97576,1.13247,0.69877,0.71452,0.69525,0.51713,0.69877,0.71452,0.69484,0.51394,1.03003,1.12614,1.47536,1.29578,0.00145658,0.00145658,0.00145658
53,370.94,0.83589,0.98636,0.97034,1.09933,0.90303,0.64583,0.80744,0.61467,0.90303,0.64583,0.80257,0.62742,0.99414,1.05911,1.27934,1.28199,0.00145246,0.00145246,0.00145246
54,377.053,0.89698,1.04898,1.03912,1.16019,0.81965,0.6489,0.75287,0.56759,0.81965,0.6489,0.74518,0.59477,1.01915,1.01481,1.38003,1.26992,0.00144833,0.00144833,0.00144833
55,383.362,0.86876,1.02458,1.00478,1.12679,0.74911,0.65833,0.74958,0.60155,0.74911,0.65833,0.74958,0.59408,0.9,1.06637,1.45706,1.21488,0.00144421,0.00144421,0.00144421
56,389.443,0.84749,0.9633,0.97057,1.09875,0.79019,0.8222,0.84054,0.67179,0.79019,0.8222,0.84054,0.67965,0.9246,0.98692,1.07492,1.23848,0.00144008,0.00144008,0.00144008
57,396.83,0.85749,0.9593,0.96612,1.11543,0.73723,0.80775,0.8387,0.66804,0.73723,0.80775,0.8387,0.64327,0.89792,1.00367,1.01409,1.19147,0.00143595,0.00143595,0.00143595
58,403.098,0.86543,1.04585,1.04095,1.09668,0.80822,0.66667,0.77224,0.57075,0.80822,0.66667,0.77311,0.58657,0.94178,0.94843,1.06847,1.22886,0.00143183,0.00143183,0.00143183
59,409.189,0.85219,1.08002,0.95566,1.13996,0.75004,0.78939,0.79599,0.65031,0.75004,0.78939,0.79599,0.63825,0.81434,0.98807,0.9583,1.1399,0.0014277,0.0014277,0.0014277
60,415.377,0.84292,1.0151,1.00611,1.12192,0.7135,0.80374,0.80268,0.64153,0.7135,0.80374,0.80268,0.63337,0.91887,0.95132,1.04923,1.21436,0.00142358,0.00142358,0.00142358
61,421.67,0.86469,1.0155,1.02415,1.10911,0.79748,0.82033,0.83349,0.63925,0.79748,0.82033,0.83349,0.6454,0.88349,0.9119,0.96929,1.15113,0.00141945,0.00141945,0.00141945
62,427.804,0.80776,0.99482,0.88126,1.10138,0.68574,0.5757,0.66928,0.54557,0.68574,0.5757,0.66928,0.53918,0.92705,1.02586,1.30475,1.23933,0.00141532,0.00141532,0.00141532
63,433.905,0.82786,0.9928,0.87948,1.0978,0.78946,0.60833,0.76548,0.60615,0.78946,0.60833,0.76548,0.61122,0.8959,1.0876,1.02462,1.26935,0.0014112,0.0014112,0.0014112
64,439.998,0.83027,1.01658,0.95343,1.10472,0.88361,0.64276,0.75723,0.61228,0.88361,0.64276,0.75723,0.57671,0.87645,1.13941,1.16946,1.19064,0.00140707,0.00140707,0.00140707
65,446.19,0.80101,0.96398,0.90538,1.08138,0.94703,0.74413,0.8343,0.65266,0.94703,0.74413,0.8343,0.65143,0.89156,1.11323,1.05701,1.19311,0.00140295,0.00140295,0.00140295
66,452.511,0.76096,0.89768,0.88292,1.06095,0.66813,0.80462,0.77716,0.60125,0.66813,0.80462,0.77668,0.61851,0.89277,1.14209,1.05173,1.20074,0.00139882,0.00139882,0.00139882
67,458.59,0.78329,0.99758,0.92893,1.08213,0.79109,0.56667,0.66101,0.53983,0.79109,0.56667,0.66101,0.51059,0.95822,1.26014,1.34968,1.22656,0.0013947,0.0013947,0.0013947
68,464.681,0.82838,1.07754,0.87878,1.09091,0.87015,0.70509,0.84371,0.66325,0.87015,0.70509,0.84371,0.65201,0.97943,1.06842,1.25327,1.23132,0.00139057,0.00139057,0.00139057
69,470.789,0.79154,0.92967,0.84475,1.06047,0.86484,0.72541,0.82117,0.65631,0.86484,0.72541,0.82486,0.65208,0.89407,1.00347,1.13461,1.17062,0.00138644,0.00138644,0.00138644
70,477.028,0.78397,0.90808,0.81358,1.06664,0.73842,0.80305,0.82676,0.66797,0.73842,0.80305,0.82676,0.64365,0.79841,1.08335,1.04237,1.10911,0.00138232,0.00138232,0.00138232
71,483.305,0.77436,0.98389,0.8406,1.05867,0.85119,0.79135,0.82392,0.66574,0.85119,0.79135,0.82422,0.65734,0.88091,0.98124,0.99472,1.17404,0.00137819,0.00137819,0.00137819
72,489.55,0.79695,0.97228,0.82549,1.07486,0.95723,0.79671,0.85573,0.67661,0.95723,0.79671,0.85573,0.67143,0.87406,0.98037,0.98431,1.16525,0.00137407,0.00137407,0.00137407
73,495.658,0.76119,0.97151,0.8217,1.05411,0.80285,0.83341,0.84221,0.66532,0.80285,0.83341,0.84721,0.67922,0.79568,0.98583,0.95745,1.107,0.00136994,0.00136994,0.00136994
74,501.871,0.79916,0.94779,0.84091,1.10199,0.82791,0.76309,0.79811,0.64532,0.82791,0.76309,0.79612,0.62996,0.81699,1.25892,0.99528,1.12779,0.00136581,0.00136581,0.00136581
75,508.012,0.85198,0.99436,0.89701,1.11596,0.87795,0.79583,0.86719,0.68955,0.87795,0.79583,0.86719,0.69348,0.79518,1.09516,0.83341,1.10388,0.00136169,0.00136169,0.00136169
76,515.543,0.80041,0.93474,0.89217,1.06703,0.85163,0.73296,0.83162,0.66682,0.85163,0.73296,0.83162,0.67035,0.81775,0.93031,1.0798,1.09226,0.00135756,0.00135756,0.00135756
77,521.831,0.74847,0.82777,0.85878,1.04946,0.81854,0.6857,0.78188,0.60871,0.81854,0.6857,0.78188,0.62036,0.86122,0.98308,1.07407,1.14224,0.00135344,0.00135344,0.00135344
